"variable","variable_comp","t_literal","p_t_literal","correlation_literal","p_correlation_literal","t_sentimental","p_t_sentimental","correlation_sentimental","p_correlation_sentimental","t_joined","p_t_joined","correlation_joined","p_correlation_joined"
"dependency_distance_std","sentiment",9.56,"****",-0.02,"ns",7.35,"****",-0.08,"ns",11.26,"****",-0.06,"ns"
"age","sentiment",79.25,"****",0.01,"ns",79.04,"****",-0.1,"*",111.98,"****",-0.06,"ns"
"income","valence",32.4,"****",-0.04,"ns",32.4,"****",-0.08,"ns",45.84,"****",-0.06,"ns"
"householdSize","n_tokens",-31.54,"****",0.04,"ns",-29.64,"****",-0.17,"***",-43.25,"****",-0.06,"ns"
"timeTaken","token_length_median",38.52,"****",-0.05,"ns",38.55,"****",-0.07,"ns",54.52,"****",-0.06,"ns"
"spelling_errors","syllables_per_token_mean",-41.81,"****",-0.02,"ns",-32.53,"****",-0.06,"ns",-51.85,"****",-0.05,"ns"
"spelling_errors","gunning_fog",-59.93,"****",0,"ns",-47.31,"****",-0.08,"ns",-74.63,"****",-0.05,"ns"
"spelling_errors","lix",-76.96,"****",-0.01,"ns",-58.44,"****",-0.08,"ns",-93.45,"****",-0.05,"ns"
"spelling_errors","prop_adjacent_dependency_relation_mean",2.05,"*",0.01,"ns",5,"****",-0.09,"ns",5.11,"****",-0.05,"ns"
"sentiment","proportion_unique_tokens",-48.21,"****",-0.12,"**",-27.71,"****",0,"ns",-47.62,"****",-0.05,"ns"
"sentiment","prop_adjacent_dependency_relation_std",-5.49,"****",0,"ns",-3.73,"***",-0.08,"ns",-5.92,"****",-0.05,"ns"
"valence","sentence_length_std",72.69,"****",-0.04,"ns",66.26,"****",-0.05,"ns",97.98,"****",-0.05,"ns"
"valence","rix",20.18,"****",-0.1,"*",28.86,"****",0.01,"ns",34.06,"****",-0.05,"ns"
"valence","prop_adjacent_dependency_relation_std",323.85,"****",-0.07,"ns",240.75,"****",-0.05,"ns",386.3,"****",-0.05,"ns"
"arousal","syllables_per_token_std",85.83,"****",-0.02,"ns",98.87,"****",0.05,"ns",118.6,"****",-0.05,"ns"
"imageability","sentence_length_mean",-15.06,"****",-0.13,"**",-15.83,"****",-0.11,"*",-21.67,"****",-0.05,"ns"
"imageability","flesch_reading_ease",-2.5,"*",0.06,"ns",-5.92,"****",-0.03,"ns",-6.13,"****",-0.05,"ns"
"sentence_length_mean","imageability",15.06,"****",-0.13,"**",15.83,"****",-0.11,"*",21.67,"****",-0.05,"ns"
"sentence_length_std","valence",-72.69,"****",-0.04,"ns",-66.26,"****",-0.05,"ns",-97.98,"****",-0.05,"ns"
"syllables_per_token_mean","spelling_errors",41.81,"****",-0.02,"ns",32.53,"****",-0.06,"ns",51.85,"****",-0.05,"ns"
"syllables_per_token_std","arousal",-85.83,"****",-0.02,"ns",-98.87,"****",0.05,"ns",-118.6,"****",-0.05,"ns"
"proportion_unique_tokens","sentiment",48.21,"****",-0.12,"**",27.71,"****",0,"ns",47.62,"****",-0.05,"ns"
"n_characters","householdSize",50.97,"****",0.05,"ns",48.69,"****",-0.14,"**",70.3,"****",-0.05,"ns"
"n_sentences","householdSize",-12.09,"****",0.01,"ns",-11.57,"****",-0.12,"*",-16.74,"****",-0.05,"ns"
"flesch_reading_ease","imageability",2.5,"*",0.06,"ns",5.92,"****",-0.03,"ns",6.13,"****",-0.05,"ns"
"flesch_reading_ease","householdSize",4.13,"****",0.02,"ns",6.84,"****",-0.1,"*",7.87,"****",-0.05,"ns"
"gunning_fog","spelling_errors",59.93,"****",0,"ns",47.31,"****",-0.08,"ns",74.63,"****",-0.05,"ns"
"lix","spelling_errors",76.96,"****",-0.01,"ns",58.44,"****",-0.08,"ns",93.45,"****",-0.05,"ns"
"rix","valence",-20.18,"****",-0.1,"*",-28.86,"****",0.01,"ns",-34.06,"****",-0.05,"ns"
"dependency_distance_std","householdSize",-22.58,"****",0.02,"ns",-22.23,"****",-0.11,"*",-31.7,"****",-0.05,"ns"
"prop_adjacent_dependency_relation_mean","spelling_errors",-2.05,"*",0.01,"ns",-5,"****",-0.09,"ns",-5.11,"****",-0.05,"ns"
"prop_adjacent_dependency_relation_std","sentiment",5.49,"****",0,"ns",3.73,"***",-0.08,"ns",5.92,"****",-0.05,"ns"
"prop_adjacent_dependency_relation_std","valence",-323.85,"****",-0.07,"ns",-240.75,"****",-0.05,"ns",-386.3,"****",-0.05,"ns"
"householdSize","n_characters",-50.97,"****",0.05,"ns",-48.69,"****",-0.14,"**",-70.3,"****",-0.05,"ns"
"householdSize","n_sentences",12.09,"****",0.01,"ns",11.57,"****",-0.12,"*",16.74,"****",-0.05,"ns"
"householdSize","flesch_reading_ease",-4.13,"****",0.02,"ns",-6.84,"****",-0.1,"*",-7.87,"****",-0.05,"ns"
"householdSize","dependency_distance_std",22.58,"****",0.02,"ns",22.23,"****",-0.11,"*",31.7,"****",-0.05,"ns"
"spelling_errors","syllables_per_token_median",-33.46,"****",0.01,"ns",-24.34,"****",-0.07,"ns",-40.11,"****",-0.04,"ns"
"valence","syllables_per_token_mean",132.86,"****",0.06,"ns",107.22,"****",-0.11,"*",166.19,"****",-0.04,"ns"
"valence","gunning_fog",-42.73,"****",0.05,"ns",-32.93,"****",-0.09,"ns",-52.59,"****",-0.04,"ns"
"imageability","sentence_length_median",-14.75,"****",-0.12,"**",-15.59,"****",-0.11,"*",-21.28,"****",-0.04,"ns"
"token_length_mean","timeTaken",-38.41,"****",-0.05,"ns",-38.43,"****",-0.04,"ns",-54.36,"****",-0.04,"ns"
"token_length_std","livingArea",-26,"****",-0.05,"ns",-26.1,"****",-0.04,"ns",-36.86,"****",-0.04,"ns"
"sentence_length_median","imageability",14.75,"****",-0.12,"**",15.59,"****",-0.11,"*",21.28,"****",-0.04,"ns"
"syllables_per_token_mean","valence",-132.86,"****",0.06,"ns",-107.22,"****",-0.11,"*",-166.19,"****",-0.04,"ns"
"syllables_per_token_median","spelling_errors",33.46,"****",0.01,"ns",24.34,"****",-0.07,"ns",40.11,"****",-0.04,"ns"
"n_unique_tokens","income",-32.39,"****",-0.03,"ns",-32.39,"****",-0.05,"ns",-45.83,"****",-0.04,"ns"
"proportion_unique_tokens","income",-32.4,"****",-0.07,"ns",-32.4,"****",0.01,"ns",-45.84,"****",-0.04,"ns"
"n_characters","lix",15.41,"****",-0.05,"ns",13.97,"****",-0.05,"ns",20.69,"****",-0.04,"ns"
"gunning_fog","valence",42.73,"****",0.05,"ns",32.93,"****",-0.09,"ns",52.59,"****",-0.04,"ns"
"lix","n_characters",-15.41,"****",-0.05,"ns",-13.97,"****",-0.05,"ns",-20.69,"****",-0.04,"ns"
"prop_adjacent_dependency_relation_mean","timeTaken",-39.78,"****",-0.05,"ns",-39.78,"****",-0.02,"ns",-56.29,"****",-0.04,"ns"
"income","n_unique_tokens",32.39,"****",-0.03,"ns",32.39,"****",-0.05,"ns",45.83,"****",-0.04,"ns"
"income","proportion_unique_tokens",32.4,"****",-0.07,"ns",32.4,"****",0.01,"ns",45.84,"****",-0.04,"ns"
"livingArea","token_length_std",26,"****",-0.05,"ns",26.1,"****",-0.04,"ns",36.86,"****",-0.04,"ns"
"timeTaken","token_length_mean",38.41,"****",-0.05,"ns",38.43,"****",-0.04,"ns",54.36,"****",-0.04,"ns"
"timeTaken","prop_adjacent_dependency_relation_mean",39.78,"****",-0.05,"ns",39.78,"****",-0.02,"ns",56.29,"****",-0.04,"ns"
"spelling_errors","flesch_kincaid_grade",-61.75,"****",-0.01,"ns",-47.76,"****",-0.04,"ns",-75.97,"****",-0.03,"ns"
"concreteness","sentence_length_mean",-16.13,"****",-0.11,"*",-18.29,"****",-0.11,"*",-24.06,"****",-0.03,"ns"
"concreteness","sentence_length_median",-15.81,"****",-0.11,"*",-18.04,"****",-0.11,"*",-23.66,"****",-0.03,"ns"
"concreteness","syllables_per_token_std",137.82,"****",-0.09,"ns",87.62,"****",-0.19,"****",124.87,"****",-0.03,"ns"
"valence","flesch_kincaid_grade",-39.07,"****",0.04,"ns",-28.72,"****",-0.08,"ns",-46.91,"****",-0.03,"ns"
"imageability","livingArea",-25.47,"****",-0.03,"ns",-25.67,"****",-0.03,"ns",-36.18,"****",-0.03,"ns"
"token_length_std","proportion_unique_tokens",57.96,"****",0.05,"ns",46.27,"****",-0.03,"ns",72.06,"****",-0.03,"ns"
"sentence_length_mean","concreteness",16.13,"****",-0.11,"*",18.29,"****",-0.11,"*",24.06,"****",-0.03,"ns"
"sentence_length_mean","coleman_liau_index",-31.54,"****",-0.02,"ns",-26.48,"****",-0.06,"ns",-40.59,"****",-0.03,"ns"
"sentence_length_mean","householdSize",23.41,"****",-0.01,"ns",20.73,"****",-0.05,"ns",31.17,"****",-0.03,"ns"
"sentence_length_median","concreteness",15.81,"****",-0.11,"*",18.04,"****",-0.11,"*",23.66,"****",-0.03,"ns"
"sentence_length_median","coleman_liau_index",-31.55,"****",-0.02,"ns",-26.51,"****",-0.06,"ns",-40.62,"****",-0.03,"ns"
"sentence_length_median","householdSize",23.11,"****",-0.01,"ns",20.52,"****",-0.05,"ns",30.81,"****",-0.03,"ns"
"syllables_per_token_mean","timeTaken",-39.4,"****",-0.02,"ns",-39.41,"****",-0.03,"ns",-55.76,"****",-0.03,"ns"
"syllables_per_token_std","concreteness",-137.82,"****",-0.09,"ns",-87.62,"****",-0.19,"****",-124.87,"****",-0.03,"ns"
"n_tokens","income",-32.39,"****",-0.02,"ns",-32.39,"****",-0.05,"ns",-45.83,"****",-0.03,"ns"
"n_unique_tokens","prop_adjacent_dependency_relation_mean",49.71,"****",-0.05,"ns",45.67,"****",-0.03,"ns",67.32,"****",-0.03,"ns"
"proportion_unique_tokens","token_length_std",-57.96,"****",0.05,"ns",-46.27,"****",-0.03,"ns",-72.06,"****",-0.03,"ns"
"n_sentences","prop_adjacent_dependency_relation_mean",28.63,"****",-0.07,"ns",31.33,"****",0.01,"ns",42.37,"****",-0.03,"ns"
"flesch_reading_ease","livingArea",-22.92,"****",0.03,"ns",-20.88,"****",-0.07,"ns",-30.95,"****",-0.03,"ns"
"flesch_kincaid_grade","spelling_errors",61.75,"****",-0.01,"ns",47.76,"****",-0.04,"ns",75.97,"****",-0.03,"ns"
"flesch_kincaid_grade","valence",39.07,"****",0.04,"ns",28.72,"****",-0.08,"ns",46.91,"****",-0.03,"ns"
"gunning_fog","dependency_distance_mean",54.61,"****",0.12,"**",42.82,"****",-0.12,"*",67.78,"****",-0.03,"ns"
"coleman_liau_index","sentence_length_mean",31.54,"****",-0.02,"ns",26.48,"****",-0.06,"ns",40.59,"****",-0.03,"ns"
"coleman_liau_index","sentence_length_median",31.55,"****",-0.02,"ns",26.51,"****",-0.06,"ns",40.62,"****",-0.03,"ns"
"rix","income",-32.4,"****",-0.01,"ns",-32.4,"****",-0.04,"ns",-45.84,"****",-0.03,"ns"
"dependency_distance_mean","gunning_fog",-54.61,"****",0.12,"**",-42.82,"****",-0.12,"*",-67.78,"****",-0.03,"ns"
"dependency_distance_mean","householdSize",-7.51,"****",-0.03,"ns",-6.82,"****",-0.03,"ns",-10.13,"****",-0.03,"ns"
"prop_adjacent_dependency_relation_mean","n_unique_tokens",-49.71,"****",-0.05,"ns",-45.67,"****",-0.03,"ns",-67.32,"****",-0.03,"ns"
"prop_adjacent_dependency_relation_mean","n_sentences",-28.63,"****",-0.07,"ns",-31.33,"****",0.01,"ns",-42.37,"****",-0.03,"ns"
"age","timeTaken",-32.81,"****",-0.03,"ns",-32.81,"****",-0.03,"ns",-46.42,"****",-0.03,"ns"
"income","n_tokens",32.39,"****",-0.02,"ns",32.39,"****",-0.05,"ns",45.83,"****",-0.03,"ns"
"income","rix",32.4,"****",-0.01,"ns",32.4,"****",-0.04,"ns",45.84,"****",-0.03,"ns"
"householdSize","sentence_length_mean",-23.41,"****",-0.01,"ns",-20.73,"****",-0.05,"ns",-31.17,"****",-0.03,"ns"
"householdSize","sentence_length_median",-23.11,"****",-0.01,"ns",-20.52,"****",-0.05,"ns",-30.81,"****",-0.03,"ns"
"householdSize","dependency_distance_mean",7.51,"****",-0.03,"ns",6.82,"****",-0.03,"ns",10.13,"****",-0.03,"ns"
"livingArea","imageability",25.47,"****",-0.03,"ns",25.67,"****",-0.03,"ns",36.18,"****",-0.03,"ns"
"livingArea","flesch_reading_ease",22.92,"****",0.03,"ns",20.88,"****",-0.07,"ns",30.95,"****",-0.03,"ns"
"timeTaken","syllables_per_token_mean",39.4,"****",-0.02,"ns",39.41,"****",-0.03,"ns",55.76,"****",-0.03,"ns"
"timeTaken","age",32.81,"****",-0.03,"ns",32.81,"****",-0.03,"ns",46.42,"****",-0.03,"ns"
"spelling_errors","proportion_unique_tokens",-11.21,"****",-0.05,"ns",-8.03,"****",-0.01,"ns",-13.4,"****",-0.02,"ns"
"spelling_errors","age",-77.43,"****",-0.09,"ns",-77.12,"****",0.03,"ns",-109.34,"****",-0.02,"ns"
"sentiment","concreteness",-164.29,"****",-0.07,"ns",-87.78,"****",-0.03,"ns",-141.25,"****",-0.02,"ns"
"sentiment","token_length_mean",-118.94,"****",-0.02,"ns",-89.65,"****",-0.02,"ns",-143.43,"****",-0.02,"ns"
"sentiment","token_length_std",-73.57,"****",0.01,"ns",-53.24,"****",-0.05,"ns",-86.5,"****",-0.02,"ns"
"sentiment","sentence_length_std",-12.75,"****",0,"ns",-13.1,"****",-0.03,"ns",-18.24,"****",-0.02,"ns"
"concreteness","sentiment",164.29,"****",-0.07,"ns",87.78,"****",-0.03,"ns",141.25,"****",-0.02,"ns"
"concreteness","livingArea",-25.53,"****",-0.02,"ns",-25.79,"****",-0.03,"ns",-36.31,"****",-0.02,"ns"
"valence","n_tokens",-25.56,"****",-0.1,"*",-23.26,"****",0.03,"ns",-34.5,"****",-0.02,"ns"
"valence","n_unique_tokens",-25.85,"****",-0.11,"*",-23.21,"****",0.04,"ns",-34.61,"****",-0.02,"ns"
"arousal","income",-32.4,"****",-0.06,"ns",-32.4,"****",0,"ns",-45.84,"****",-0.02,"ns"
"imageability","age",-64.92,"****",0.01,"ns",-66.85,"****",-0.06,"ns",-93.12,"****",-0.02,"ns"
"imageability","income",-32.4,"****",0.03,"ns",-32.4,"****",-0.05,"ns",-45.84,"****",-0.02,"ns"
"token_length_mean","sentiment",118.94,"****",-0.02,"ns",89.65,"****",-0.02,"ns",143.43,"****",-0.02,"ns"
"token_length_std","sentiment",73.57,"****",0.01,"ns",53.24,"****",-0.05,"ns",86.5,"****",-0.02,"ns"
"sentence_length_mean","gunning_fog",-26.35,"****",0.05,"ns",-22.67,"****",-0.1,"*",-34.36,"****",-0.02,"ns"
"sentence_length_mean","age",-51.65,"****",-0.09,"*",-53.44,"****",0.06,"ns",-74.3,"****",-0.02,"ns"
"sentence_length_median","gunning_fog",-26.38,"****",0.05,"ns",-22.7,"****",-0.09,"ns",-34.41,"****",-0.02,"ns"
"sentence_length_median","age",-51.64,"****",-0.09,"ns",-53.44,"****",0.06,"ns",-74.29,"****",-0.02,"ns"
"sentence_length_std","sentiment",12.75,"****",0,"ns",13.1,"****",-0.03,"ns",18.24,"****",-0.02,"ns"
"sentence_length_std","prop_adjacent_dependency_relation_mean",4.25,"****",-0.07,"ns",6.71,"****",0.04,"ns",7.79,"****",-0.02,"ns"
"n_tokens","valence",25.56,"****",-0.1,"*",23.26,"****",0.03,"ns",34.5,"****",-0.02,"ns"
"n_tokens","prop_adjacent_dependency_relation_mean",46.81,"****",-0.03,"ns",44.62,"****",-0.02,"ns",64.61,"****",-0.02,"ns"
"n_unique_tokens","valence",25.85,"****",-0.11,"*",23.21,"****",0.04,"ns",34.61,"****",-0.02,"ns"
"proportion_unique_tokens","spelling_errors",11.21,"****",-0.05,"ns",8.03,"****",-0.01,"ns",13.4,"****",-0.02,"ns"
"n_characters","gunning_fog",40.56,"****",0.02,"ns",38.48,"****",-0.06,"ns",55.75,"****",-0.02,"ns"
"gunning_fog","sentence_length_mean",26.35,"****",0.05,"ns",22.67,"****",-0.1,"*",34.36,"****",-0.02,"ns"
"gunning_fog","sentence_length_median",26.38,"****",0.05,"ns",22.7,"****",-0.09,"ns",34.41,"****",-0.02,"ns"
"gunning_fog","n_characters",-40.56,"****",0.02,"ns",-38.48,"****",-0.06,"ns",-55.75,"****",-0.02,"ns"
"prop_adjacent_dependency_relation_mean","sentence_length_std",-4.25,"****",-0.07,"ns",-6.71,"****",0.04,"ns",-7.79,"****",-0.02,"ns"
"prop_adjacent_dependency_relation_mean","n_tokens",-46.81,"****",-0.03,"ns",-44.62,"****",-0.02,"ns",-64.61,"****",-0.02,"ns"
"prop_adjacent_dependency_relation_mean","livingArea",-26.74,"****",0,"ns",-26.75,"****",-0.05,"ns",-37.85,"****",-0.02,"ns"
"age","spelling_errors",77.43,"****",-0.09,"ns",77.12,"****",0.03,"ns",109.34,"****",-0.02,"ns"
"age","imageability",64.92,"****",0.01,"ns",66.85,"****",-0.06,"ns",93.12,"****",-0.02,"ns"
"age","sentence_length_mean",51.65,"****",-0.09,"*",53.44,"****",0.06,"ns",74.3,"****",-0.02,"ns"
"age","sentence_length_median",51.64,"****",-0.09,"ns",53.44,"****",0.06,"ns",74.29,"****",-0.02,"ns"
"income","arousal",32.4,"****",-0.06,"ns",32.4,"****",0,"ns",45.84,"****",-0.02,"ns"
"income","imageability",32.4,"****",0.03,"ns",32.4,"****",-0.05,"ns",45.84,"****",-0.02,"ns"
"income","timeTaken",32.27,"****",-0.02,"ns",32.27,"****",-0.02,"ns",45.67,"****",-0.02,"ns"
"livingArea","concreteness",25.53,"****",-0.02,"ns",25.79,"****",-0.03,"ns",36.31,"****",-0.02,"ns"
"livingArea","prop_adjacent_dependency_relation_mean",26.74,"****",0,"ns",26.75,"****",-0.05,"ns",37.85,"****",-0.02,"ns"
"timeTaken","income",-32.27,"****",-0.02,"ns",-32.27,"****",-0.02,"ns",-45.67,"****",-0.02,"ns"
"spelling_errors","token_length_std",-52.52,"****",-0.03,"ns",-40.29,"****",0.03,"ns",-64.4,"****",-0.01,"ns"
"sentiment","arousal",-121.23,"****",0,"ns",-87.93,"****",-0.01,"ns",-132.26,"****",-0.01,"ns"
"sentiment","token_length_median",-81.89,"****",-0.02,"ns",-68.87,"****",-0.01,"ns",-105.56,"****",-0.01,"ns"
"sentiment","flesch_reading_ease",-6.22,"****",0.02,"ns",-8.58,"****",-0.02,"ns",-10.54,"****",-0.01,"ns"
"sentiment","gunning_fog",-62.5,"****",-0.02,"ns",-49.57,"****",-0.01,"ns",-77.98,"****",-0.01,"ns"
"sentiment","timeTaken",-39.9,"****",0.03,"ns",-39.91,"****",-0.03,"ns",-56.47,"****",-0.01,"ns"
"valence","prop_adjacent_dependency_relation_mean",289.86,"****",0.09,"ns",219.09,"****",-0.06,"ns",348.63,"****",-0.01,"ns"
"valence","age",-65.16,"****",-0.07,"ns",-65.04,"****",0.02,"ns",-92.12,"****",-0.01,"ns"
"arousal","sentiment",121.23,"****",0,"ns",87.93,"****",-0.01,"ns",132.26,"****",-0.01,"ns"
"imageability","rix",20.76,"****",-0.15,"**",19.48,"****",-0.11,"*",27.55,"****",-0.01,"ns"
"token_length_median","sentiment",81.89,"****",-0.02,"ns",68.87,"****",-0.01,"ns",105.56,"****",-0.01,"ns"
"token_length_std","spelling_errors",52.52,"****",-0.03,"ns",40.29,"****",0.03,"ns",64.4,"****",-0.01,"ns"
"sentence_length_mean","prop_adjacent_dependency_relation_mean",41.32,"****",0.02,"ns",38.75,"****",-0.06,"ns",56.46,"****",-0.01,"ns"
"sentence_length_median","prop_adjacent_dependency_relation_mean",40.77,"****",0.02,"ns",38.36,"****",-0.06,"ns",55.81,"****",-0.01,"ns"
"sentence_length_std","householdSize",-16.13,"****",0.06,"ns",-15.03,"****",-0.07,"ns",-22.04,"****",-0.01,"ns"
"syllables_per_token_median","timeTaken",-39.44,"****",0.03,"ns",-39.47,"****",-0.05,"ns",-55.83,"****",-0.01,"ns"
"flesch_reading_ease","sentiment",6.22,"****",0.02,"ns",8.58,"****",-0.02,"ns",10.54,"****",-0.01,"ns"
"gunning_fog","sentiment",62.5,"****",-0.02,"ns",49.57,"****",-0.01,"ns",77.98,"****",-0.01,"ns"
"lix","dependency_distance_mean",74.75,"****",0.13,"**",56.66,"****",-0.1,"*",90.69,"****",-0.01,"ns"
"rix","imageability",-20.76,"****",-0.15,"**",-19.48,"****",-0.11,"*",-27.55,"****",-0.01,"ns"
"dependency_distance_mean","lix",-74.75,"****",0.13,"**",-56.66,"****",-0.1,"*",-90.69,"****",-0.01,"ns"
"prop_adjacent_dependency_relation_mean","valence",-289.86,"****",0.09,"ns",-219.09,"****",-0.06,"ns",-348.63,"****",-0.01,"ns"
"prop_adjacent_dependency_relation_mean","sentence_length_mean",-41.32,"****",0.02,"ns",-38.75,"****",-0.06,"ns",-56.46,"****",-0.01,"ns"
"prop_adjacent_dependency_relation_mean","sentence_length_median",-40.77,"****",0.02,"ns",-38.36,"****",-0.06,"ns",-55.81,"****",-0.01,"ns"
"age","valence",65.16,"****",-0.07,"ns",65.04,"****",0.02,"ns",92.12,"****",-0.01,"ns"
"householdSize","sentence_length_std",16.13,"****",0.06,"ns",15.03,"****",-0.07,"ns",22.04,"****",-0.01,"ns"
"timeTaken","sentiment",39.9,"****",0.03,"ns",39.91,"****",-0.03,"ns",56.47,"****",-0.01,"ns"
"timeTaken","syllables_per_token_median",39.44,"****",0.03,"ns",39.47,"****",-0.05,"ns",55.83,"****",-0.01,"ns"
"sentiment","syllables_per_token_mean",-80.53,"****",-0.02,"ns",-49.87,"****",0.01,"ns",-85.15,"****",0,"ns"
"sentiment","syllables_per_token_std",-45.72,"****",0.01,"ns",-27.48,"****",-0.01,"ns",-47.66,"****",0,"ns"
"sentiment","n_characters",-53.31,"****",0.01,"ns",-51.08,"****",0,"ns",-73.64,"****",0,"ns"
"sentiment","automated_readability_index",-61.85,"****",-0.01,"ns",-48.55,"****",0.01,"ns",-76.7,"****",0,"ns"
"concreteness","income",-32.4,"****",0.01,"ns",-32.4,"****",-0.01,"ns",-45.84,"****",0,"ns"
"concreteness","householdSize",17.5,"****",-0.08,"ns",9.28,"****",0.07,"ns",18.59,"****",0,"ns"
"valence","arousal",97.55,"****",0.02,"ns",62.09,"****",-0.05,"ns",100.43,"****",0,"ns"
"arousal","valence",-97.55,"****",0.02,"ns",-62.09,"****",-0.05,"ns",-100.43,"****",0,"ns"
"arousal","livingArea",-26.07,"****",0,"ns",-25.95,"****",0,"ns",-36.8,"****",0,"ns"
"imageability","householdSize",19.21,"****",-0.06,"ns",13,"****",0.04,"ns",22.55,"****",0,"ns"
"token_length_std","sentence_length_mean",-25.52,"****",-0.11,"*",-24.35,"****",0.08,"ns",-35.13,"****",0,"ns"
"token_length_std","sentence_length_median",-25.13,"****",-0.11,"*",-24.06,"****",0.08,"ns",-34.66,"****",0,"ns"
"sentence_length_mean","token_length_std",25.52,"****",-0.11,"*",24.35,"****",0.08,"ns",35.13,"****",0,"ns"
"sentence_length_mean","syllables_per_token_std",37.79,"****",-0.08,"ns",35.37,"****",0.07,"ns",51.59,"****",0,"ns"
"sentence_length_mean","livingArea",-24.71,"****",-0.09,"ns",-24.88,"****",0.09,"*",-35.09,"****",0,"ns"
"sentence_length_median","token_length_std",25.13,"****",-0.11,"*",24.06,"****",0.08,"ns",34.66,"****",0,"ns"
"sentence_length_median","syllables_per_token_std",37.27,"****",-0.08,"ns",35,"****",0.06,"ns",50.97,"****",0,"ns"
"sentence_length_median","livingArea",-24.72,"****",-0.08,"ns",-24.89,"****",0.09,"*",-35.1,"****",0,"ns"
"syllables_per_token_mean","sentiment",80.53,"****",-0.02,"ns",49.87,"****",0.01,"ns",85.15,"****",0,"ns"
"syllables_per_token_std","sentiment",45.72,"****",0.01,"ns",27.48,"****",-0.01,"ns",47.66,"****",0,"ns"
"syllables_per_token_std","sentence_length_mean",-37.79,"****",-0.08,"ns",-35.37,"****",0.07,"ns",-51.59,"****",0,"ns"
"syllables_per_token_std","sentence_length_median",-37.27,"****",-0.08,"ns",-35,"****",0.06,"ns",-50.97,"****",0,"ns"
"n_characters","sentiment",53.31,"****",0.01,"ns",51.08,"****",0,"ns",73.64,"****",0,"ns"
"n_characters","prop_adjacent_dependency_relation_mean",52.92,"****",-0.05,"ns",50.71,"****",0.02,"ns",73.1,"****",0,"ns"
"n_characters","income",-32.34,"****",-0.01,"ns",-32.35,"****",0.01,"ns",-45.77,"****",0,"ns"
"flesch_reading_ease","timeTaken",-35.79,"****",-0.02,"ns",-33.7,"****",0.01,"ns",-49.12,"****",0,"ns"
"automated_readability_index","sentiment",61.85,"****",-0.01,"ns",48.55,"****",0.01,"ns",76.7,"****",0,"ns"
"lix","timeTaken",-27.75,"****",0.04,"ns",-28.29,"****",-0.03,"ns",-39.64,"****",0,"ns"
"prop_adjacent_dependency_relation_mean","n_characters",-52.92,"****",-0.05,"ns",-50.71,"****",0.02,"ns",-73.1,"****",0,"ns"
"prop_adjacent_dependency_relation_mean","age",-77.89,"****",-0.02,"ns",-77.99,"****",0.01,"ns",-110.29,"****",0,"ns"
"prop_adjacent_dependency_relation_std","income",-32.4,"****",-0.02,"ns",-32.4,"****",0.01,"ns",-45.84,"****",0,"ns"
"prop_adjacent_dependency_relation_std","householdSize",-23.64,"****",0.03,"ns",-23.58,"****",-0.04,"ns",-33.41,"****",0,"ns"
"age","prop_adjacent_dependency_relation_mean",77.89,"****",-0.02,"ns",77.99,"****",0.01,"ns",110.29,"****",0,"ns"
"income","concreteness",32.4,"****",0.01,"ns",32.4,"****",-0.01,"ns",45.84,"****",0,"ns"
"income","n_characters",32.34,"****",-0.01,"ns",32.35,"****",0.01,"ns",45.77,"****",0,"ns"
